year_week,new_contributor_count
2012-53,2290
2013-52,5250
2011-52,6136
2011-31,7254
2011-06,7526
2011-30,7551
2016-00,7770
2011-51,7862
2011-33,7869
2011-27,7900
2011-35,8056
2011-40,8125
2011-43,8172
2011-32,8205
2011-28,8434
2011-29,8448
2011-21,8492
2011-39,8600
2011-17,8649
2011-24,8674
2011-42,8762
2012-01,8780
2011-41,8782
2011-45,8840
2011-34,8850
2011-47,8915
2011-22,8947
2011-36,8971
2011-49,8989
2011-20,8999
2011-19,9051
2011-18,9052
2011-46,9106
2011-50,9132
2011-23,9138
2011-16,9173
2015-00,9433
2011-38,9441
2011-37,9625
2011-44,9734
2011-13,9790
2011-48,9962
2014-00,9986
2011-14,10440
2012-04,10571
2012-03,10643
2012-02,10673
2011-15,10676
2011-12,11045
2012-06,11260
2012-05,11284
2012-10,11298
2012-07,11364
2011-11,11393
2012-18,11567
2014-52,11703
2012-14,11811
2012-08,11812
2011-10,11896
2013-00,11972
2012-09,12032
2012-13,12283
2012-25,12628
2012-20,12638
2012-24,12880
2012-26,13164
2012-16,13187
2012-19,13346
2012-15,13444
2012-11,13467
2012-17,13472
2012-12,13583
2012-52,13744
2012-30,14017
2012-21,14055
2012-23,14160
2011-09,14620
2012-33,15150
2012-32,15314
2012-31,15488
2012-35,15998
2012-34,16377
2013-51,16483
2012-36,16805
2012-44,16973
2012-22,17031
2012-40,17220
2012-38,17221
2012-29,17505
2011-08,17710
2012-51,17805
2012-45,18562
2012-37,18577
2012-39,18586
2012-46,18707
2012-28,18966
2013-23,19279
2012-47,19319
2012-50,19670
2013-32,19856
2012-27,19896
2012-41,20003
2012-48,20063
2011-26,20421
2013-30,20482
2012-43,20666
2015-52,20839
2011-25,20951
2013-29,21113
2013-33,21180
2013-28,21348
2013-17,21437
2013-22,21444
2013-01,21507
2013-49,21645
2012-42,21769
2013-47,21814
2013-21,21922
2012-49,22021
2013-34,22077
2014-01,22127
2013-36,22203
2013-50,22246
2013-35,22303
2013-20,22379
2013-39,22405
2013-18,22406
2013-15,22661
2013-37,22853
2013-31,23090
2013-19,23123
2013-12,23247
2013-48,23266
2013-02,23539
2013-13,23723
2013-16,23804
2013-11,23837
2013-44,24000
2013-05,24198
2013-41,24248
2014-03,24362
2013-27,24551
2013-14,24637
2013-03,24737
2013-45,24893
2014-04,24931
2013-40,24973
2013-42,25066
2014-25,25142
2013-04,25159
2014-26,25229
2013-43,25360
2014-30,25739
2013-08,25752
2013-07,25858
2014-51,25919
2014-21,26338
2013-09,26780
2014-05,27045
2013-38,27077
2014-17,27298
2014-06,27367
2013-10,27412
2014-13,27488
2014-02,27493
2014-09,27708
2013-24,27803
2014-24,28261
2013-46,28317
2014-31,28383
2014-28,28500
2014-27,28509
2014-23,28567
2014-12,28703
2014-11,28769
2014-32,28873
2014-07,28877
2011-07,28962
2014-29,29043
2014-10,29071
2014-33,29139
2014-34,29920
2014-18,29974
2014-22,30391
2014-39,30547
2014-19,30749
2014-15,30920
2014-16,30971
2014-08,31327
2014-20,31719
2014-50,31865
2014-35,33131
2014-49,33185
2014-38,33525
2014-14,33657
2014-36,33697
2015-51,34936
2014-47,35134
2014-48,35238
2015-01,35564
2014-40,36026
2014-37,36562
2015-07,36964
2014-41,37095
2015-08,37117
2015-31,37144
2015-30,37469
2015-21,37633
2013-26,37771
2015-17,37869
2014-43,38039
2015-13,38129
2015-04,38503
2014-44,38725
2015-02,39250
2015-06,39252
2015-05,39287
2015-24,39291
2015-03,39713
2014-45,39895
2014-46,40022
2015-25,40226
2015-28,40277
2015-23,40942
2015-26,41064
2015-29,41448
2015-19,41514
2015-32,41521
2015-33,41540
2014-42,41704
2015-34,41873
2015-39,42018
2015-12,42238
2015-27,42441
2015-50,42574
2015-20,42695
2015-22,42955
2015-09,42997
2015-15,43068
2015-14,43277
2015-16,43305
2015-47,43687
2015-35,43764
2015-18,44355
2015-11,45200
2015-49,45731
2016-01,45766
2015-48,45859
2015-42,45958
2015-37,46466
2015-36,46478
2015-45,46706
2015-38,46809
2015-10,47626
2015-41,48584
2015-40,49206
2015-44,49213
2015-46,49845
2016-06,49886
2016-03,50118
2015-43,50282
2016-02,51737
2016-25,53330
2013-06,54395
2016-05,54585
2016-23,54941
2016-24,55220
2016-19,56249
2016-17,56531
2016-22,56807
2016-27,56943
2016-04,58224
2016-09,58575
2016-26,58628
2013-25,58731
2016-07,59253
2016-28,59317
2016-13,59349
2016-30,59677
2016-14,60115
2016-08,60118
2016-10,60501
2016-21,60627
2016-12,60911
2016-20,61436
2016-16,62101
2016-33,62168
2016-11,62428
2016-29,63128
2016-31,63205
2016-15,63640
2016-32,65501
2016-42,65847
2016-34,65950
2016-35,71369
2016-37,71538
2016-36,71639
2016-41,75340
2016-39,76831
2016-40,76884
2016-38,81078
2016-18,269991
