contributor_count,year_week
7526,2011-06
34112,2011-07
35673,2011-08
37377,2011-09
37455,2011-10
38137,2011-11
40585,2011-12
38699,2011-13
41866,2011-14
44829,2011-15
41388,2011-16
39026,2011-17
43961,2011-18
43476,2011-19
43060,2011-20
44418,2011-21
44526,2011-22
47132,2011-23
46719,2011-24
87125,2011-25
85544,2011-26
45618,2011-27
48881,2011-28
49036,2011-29
47020,2011-30
47278,2011-31
49145,2011-32
50201,2011-33
53538,2011-34
52370,2011-35
55288,2011-36
57640,2011-37
55139,2011-38
53330,2011-39
52324,2011-40
56845,2011-41
57474,2011-42
56008,2011-43
61403,2011-44
57729,2011-45
58312,2011-46
60355,2011-47
66154,2011-48
66009,2011-49
63361,2011-50
58410,2011-51
44174,2011-52
61482,2012-01
69153,2012-02
72750,2012-03
70630,2012-04
80178,2012-05
74743,2012-06
74313,2012-07
80445,2012-08
86496,2012-09
80419,2012-10
88955,2012-11
87939,2012-12
87401,2012-13
88521,2012-14
92391,2012-15
92500,2012-16
95519,2012-17
87968,2012-18
93408,2012-19
88594,2012-20
94250,2012-21
93878,2012-22
94701,2012-23
92540,2012-24
91857,2012-25
93047,2012-26
105352,2012-27
105170,2012-28
100785,2012-29
102660,2012-30
103948,2012-31
107940,2012-32
107791,2012-33
109209,2012-34
109877,2012-35
109788,2012-36
112783,2012-37
118698,2012-38
125109,2012-39
115085,2012-40
122709,2012-41
128593,2012-42
132081,2012-43
129376,2012-44
133843,2012-45
136232,2012-46
126056,2012-47
146512,2012-48
149586,2012-49
148408,2012-50
125932,2012-51
94509,2012-52
27504,2012-53
91432,2013-00
142732,2013-01
143751,2013-02
152129,2013-03
158742,2013-04
149810,2013-05
184897,2013-06
164060,2013-07
171754,2013-08
165927,2013-09
181708,2013-10
172542,2013-11
167413,2013-12
168871,2013-13
182593,2013-14
175968,2013-15
181177,2013-16
171354,2013-17
177477,2013-18
165364,2013-19
162731,2013-20
164512,2013-21
169488,2013-22
154535,2013-23
166941,2013-24
204490,2013-25
181065,2013-26
181133,2013-27
177012,2013-28
172179,2013-29
166113,2013-30
182797,2013-31
172973,2013-32
185042,2013-33
181895,2013-34
181302,2013-35
186495,2013-36
186697,2013-37
198679,2013-38
191450,2013-39
195637,2013-40
201559,2013-41
203919,2013-42
209847,2013-43
212741,2013-44
225747,2013-45
222883,2013-46
197279,2013-47
208802,2013-48
198575,2013-49
183802,2013-50
139009,2013-51
69027,2013-52
113906,2014-00
191972,2014-01
207680,2014-02
209423,2014-03
212523,2014-04
209474,2014-05
222184,2014-06
229140,2014-07
230657,2014-08
236589,2014-09
242250,2014-10
239249,2014-11
237964,2014-12
246631,2014-13
258034,2014-14
246413,2014-15
256336,2014-16
255406,2014-17
249184,2014-18
252219,2014-19
246233,2014-20
241472,2014-21
242496,2014-22
240719,2014-23
234254,2014-24
226230,2014-25
229593,2014-26
238167,2014-27
241981,2014-28
237974,2014-29
238835,2014-30
239433,2014-31
241806,2014-32
257200,2014-33
256477,2014-34
267818,2014-35
253726,2014-36
286154,2014-37
283454,2014-38
275648,2014-39
294699,2014-40
293106,2014-41
310493,2014-42
316374,2014-43
317287,2014-44
327753,2014-45
322916,2014-46
318644,2014-47
326353,2014-48
314399,2014-49
282070,2014-50
224803,2014-51
142777,2014-52
116589,2015-00
271454,2015-01
312987,2015-02
333593,2015-03
354356,2015-04
334076,2015-05
340226,2015-06
328076,2015-07
354226,2015-08
349262,2015-09
388049,2015-10
385910,2015-11
391184,2015-12
355236,2015-13
380936,2015-14
383548,2015-15
376054,2015-16
371395,2015-17
373277,2015-18
373095,2015-19
379583,2015-20
367421,2015-21
368500,2015-22
359989,2015-23
361749,2015-24
348803,2015-25
347013,2015-26
357154,2015-27
356748,2015-28
368500,2015-29
355519,2015-30
343504,2015-31
365667,2015-32
368461,2015-33
380143,2015-34
387050,2015-35
399085,2015-36
401876,2015-37
391351,2015-38
394905,2015-39
396738,2015-40
425359,2015-41
446198,2015-42
434054,2015-43
436805,2015-44
446198,2015-45
457025,2015-46
424623,2015-47
447452,2015-48
462530,2015-49
420430,2015-50
349153,2015-51
231954,2015-52
112709,2016-00
395491,2016-01
450772,2016-02
451529,2016-03
483238,2016-04
476193,2016-05
446107,2016-06
477504,2016-07
512500,2016-08
516205,2016-09
522931,2016-10
528528,2016-11
505384,2016-12
514433,2016-13
529718,2016-14
532954,2016-15
544235,2016-16
550575,2016-17
692823,2016-18
500343,2016-19
501323,2016-20
517767,2016-21
483238,2016-22
479712,2016-23
496137,2016-24
475659,2016-25
490076,2016-26
466581,2016-27
496384,2016-28
489751,2016-29
478705,2016-30
462786,2016-31
483238,2016-32
481984,2016-33
503906,2016-34
532857,2016-35
543894,2016-36
531851,2016-37
561721,2016-38
579579,2016-39
581275,2016-40
584076,2016-41
553657,2016-42
